Nombre,Latitud,Longitud
Pantitlán,19.415,-99.0721
Tepito,19.4422,-99.1238
Lagunilla,19.4441,-99.1315
Merced,19.4258,-99.1249
Doctores,19.4216,-99.1484
Guerrero,19.4444,-99.1456
Tacubaya,19.4027,-99.1871
Observatorio,19.3983,-99.2003
Indios Verdes,19.4954,-99.1195
Martín Carrera,19.4858,-99.1046
Constitución de 1917,19.3457,-99.0633
Cerro de la Estrella,19.3348,-99.0838
Iztapalapa Centro,19.3574,-99.0925
Canal de San Juan,19.4098,-99.0835
Nezahualcóyotl límite con CDMX,19.4009,-99.0142
Ecatepec conexión Línea B,19.5142,-99.0357
Hidalgo,19.4371,-99.1472
Bellas Artes de noche,19.4352,-99.1412
Garibaldi,19.4438,-99.1382
Balderas,19.4274,-99.1495
Pino Suárez,19.4252,-99.1325
Candelaria,19.4302,-99.1228
Jamaica,19.4089,-99.1215
Chabacano,19.4081,-99.1354
San Lázaro,19.43,-99.1141
Moctezuma,19.4274,-99.1091
Boulevard Puerto Aéreo,19.4194,-99.0956
Talismán,19.4744,-99.1086
Valle Gómez,19.4587,-99.1198
Misterios,19.4636,-99.1306
Potrero,19.4767,-99.132
La Raza alrededores,19.4698,-99.1375
Buenavista,19.447,-99.1521
Morelos,19.439,-99.1187
Mixiuhca,19.4086,-99.1124
Santa Martha Acatitla,19.3604,-98.9955
Guelatao,19.385,-99.0358
Tepalcates,19.3926,-99.046
Olivos,19.3201,-99.0745
Atlalilco,19.356,-99.101
Ermita,19.3616,-99.1426
UAM-I,19.3508,-99.074
Escuadrón 201,19.3648,-99.109
Constitución de Apatzingán,19.3453,-99.052
Bondojito,19.4648,-99.1116
Peralvillo,19.454,-99.1298
Colonia Centro norte,19.4397,-99.1358
Zona de Congreso de la Unión,19.4302,-99.121
Eje Central en la noche,19.4332,-99.1416
Zona Terminal de Autobuses TAPO,19.4292,-99.1125
