Nombre,Latitud,Longitud
Café Avellaneda,"19,3467","-99,1617"
Quentin Café,"19,4183","-99,1676"
Cucurucho Café,"19,4324","-99,2012"
Blend Station,"19,4095","-99,171"
Café Nin,"19,426","-99,1635"
Boicot Café,"19,4172","-99,1608"
Buna,"19,4188","-99,1619"
Constela Café,"19,4155","-99,1644"
Cardinal Casa de Café,"19,42","-99,1601"
Café Tormenta,"19,4213","-99,1628"
Drip Specialty Coffee,"19,4177","-99,165"
Tierra Garat,"19,4335","-99,1332"
Almanegra Café,"19,4141","-99,1658"
Camino a Comala,"19,4056","-99,1615"
Café Passmar,"19,4294","-99,158"
Finca Don Porfirio,"19,4352","-99,1412"
Dosis Café,"19,4084","-99,173"
Café Etrusca,"19,4362","-99,1451"
La Ventanita Café,"19,4132","-99,1691"
Café Curado,"19,4189","-99,1622"
Chiquitito Café,"19,4048","-99,1739"
Café Arixi,"19,4126","-99,1602"
Café Milou,"19,4266","-99,164"
Baveno,"19,4158","-99,1671"
Memorias de un Barista,"19,4208","-99,1594"
Café Vegetal,"19,4081","-99,1649"
Péndulo Café,"19,4144","-99,1748"
Café Toscano,"19,4288","-99,1704"
Café El Jarocho,"19,3499","-99,1625"
Tasca Don Quino,"19,4337","-99,1462"
Café Ruta de la Seda,"19,3507","-99,1629"
Mendl Delicatessen,"19,4174","-99,1653"
Café Tacuba,"19,4354","-99,1372"
Punto Café,"19,4102","-99,172"
Mokaya,"19,4273","-99,1631"
Café Emir,"19,4345","-99,1386"
Enhorabuena Café,"19,4118","-99,1675"
Café Negro,"19,4161","-99,1637"
Café con Jiribilla,"19,4136","-99,1688"
Catfecito,"19,421","-99,1598"
Café Memorias,"19,4182","-99,1647"
Café de Raíz,"19,4074","-99,1661"
Café Ocampo,"19,4328","-99,1418"
Café Garko,"19,4167","-99,1604"
Doom Café,"19,4121","-99,1656"
Café de Especialidad Cumbé,"19,4193","-99,1612"
Café Kafka,"19,4149","-99,1642"
Marea Café,"19,4099","-99,1708"
Casa Cardinal,"19,4211","-99,1607"
Brew Brew,"19,4152","-99,1669"
