"Plantel","Latitud","Longitud"
"Escuela Nacional Preparatoria 1 'Gabino Barreda'","19.3197","-99.1143"
"Escuela Nacional Preparatoria 2 'Erasmo Castellanos Quinto'","19.3578","-99.0896"
"Escuela Nacional Preparatoria 3 'Justo Sierra'","19.3724","-99.0728"
"Escuela Nacional Preparatoria 4 'Vidal Castañeda y Nájera'","19.3889","-99.1121"
"Escuela Nacional Preparatoria 5 'José Vasconcelos'","19.3508","-99.1688"
"Escuela Nacional Preparatoria 6 'Antonio Caso'","19.4834","-99.1198"
"Escuela Nacional Preparatoria 7 'Ezequiel A. Chávez'","19.4869","-99.1325"
"Escuela Nacional Preparatoria 8 'Miguel E. Schulz'","19.393","-99.1684"
"Escuela Nacional Preparatoria 9 'Pedro de Alba'","19.5037","-99.1469"
"CCH Azcapotzalco","19.4902","-99.1868"
"CCH Oriente","19.361","-99.072"
"CCH Sur","19.3045","-99.1902"
"CCH Vallejo","19.4907","-99.1506"
"Vocacional 1 IPN","19.4328","-99.1423"
"Vocacional 2 IPN","19.4388","-99.1478"
"Vocacional 3 IPN","19.5009","-99.1463"
"Vocacional 4 IPN","19.4578","-99.1812"
"Vocacional 5 IPN","19.4458","-99.1421"
"Vocacional 6 IPN","19.4395","-99.1458"
"Vocacional 7 IPN","19.4956","-99.1261"
"Vocacional 9 IPN","19.5048","-99.1468"
"UACM Cuautepec","19.5585","-99.1476"
"UACM Del Valle","19.3727","-99.1705"
"UACM San Lorenzo Tezonco","19.3077","-99.0615"
"UACM Centro Histórico","19.432","-99.1336"
"UACM Casa Libertad","19.3586","-99.0359"
"UNAM Ciudad Universitaria","19.3326","-99.1886"
"IPN Zacatenco","19.5045","-99.1467"
"UAM Azcapotzalco","19.504","-99.186"
"UAM Iztapalapa","19.3608","-99.0732"
"UAM Xochimilco","19.3044","-99.1049"
"ESCA Santo Tomás","19.4543","-99.1718"
"ESIME Zacatenco","19.5039","-99.1462"
"ESDIT","19.4421","-99.1473"
"Escuela Superior de Medicina IPN","19.4548","-99.171"
"Escuela Nacional de Artes Cinematográficas","19.3298","-99.1847"
"Facultad de Arquitectura UNAM","19.3315","-99.187"
"Facultad de Artes y Diseño UNAM","19.3285","-99.184"
"Facultad de Filosofía y Letras UNAM","19.3324","-99.1881"
"Facultad de Ciencias Políticas y Sociales UNAM","19.3185","-99.1848"
"Facultad de Ingeniería UNAM","19.3318","-99.1845"
"Facultad de Medicina UNAM","19.3328","-99.183"
"Facultad de Química UNAM","19.3316","-99.1815"
"Facultad de Economía UNAM","19.3329","-99.1895"
"Facultad de Psicología UNAM","19.3314","-99.1862"
"Facultad de Música UNAM","19.3274","-99.1834"
"La Esmeralda","19.3125","-99.1426"
"Escuela Nacional de Danza Clásica y Contemporánea","19.4445","-99.1372"
"Escuela Nacional de Arte Teatral","19.4448","-99.1378"
"Escuela Nacional de Biblioteconomía y Archivonomía","19.4708","-99.1289"
"Escuela Superior de Turismo IPN","19.4547","-99.1715"
"ESIQIE","19.5035","-99.1456"
"ESFM","19.5032","-99.1448"
"ESCOM","19.5038","-99.1437"
