Nombre,Latitud,Longitud
Museo Nacional de Antropología,"19,426","-99,186"
Museo Tamayo,"19,4254","-99,1816"
Museo Universitario Arte Contemporáneo,"19,3147","-99,1857"
Museo Frida Kahlo,"19,3553","-99,1626"
Museo Soumaya,"19,4405","-99,2045"
Museo Jumex,"19,4408","-99,2042"
Museo de Arte Moderno,"19,4227","-99,1817"
Museo Franz Mayer,"19,4362","-99,1412"
Museo Nacional de Arte,"19,4357","-99,1394"
Museo del Estanquillo,"19,4326","-99,1341"
Museo de la Ciudad de México,"19,4291","-99,1315"
Museo Casa Estudio Diego Rivera y Frida Kahlo,"19,3461","-99,19"
Museo Anahuacalli,"19,3133","-99,1423"
Museo Nacional de las Culturas,"19,434","-99,1312"
Museo del Templo Mayor,"19,4343","-99,131"
Museo Nacional de Historia,"19,4205","-99,1819"
Museo Mural Diego Rivera,"19,4366","-99,1453"
Museo de Arte Popular,"19,4338","-99,147"
Museo Memoria y Tolerancia,"19,4351","-99,1431"
Museo del Objeto del Objeto,"19,419","-99,1615"
Museo del Chocolate,"19,4307","-99,1546"
Museo del Pulque y las Pulquerías,"19,4385","-99,1435"
Museo Nacional de la Revolución,"19,4363","-99,1538"
Museo Interactivo de Economía,"19,4367","-99,138"
Museo Nacional de San Carlos,"19,4391","-99,1493"
Museo de Cera,"19,4256","-99,1609"
Museo Ripley,"19,4255","-99,1612"
Museo Dolores Olmedo,"19,2551","-99,1037"
Museo Archivo de la Fotografía,"19,433","-99,1303"
Museo Nacional de Arquitectura,"19,4355","-99,1416"
Museo del Caracol,"19,4201","-99,1827"
Museo Casa de Carranza,"19,4277","-99,1622"
Museo Nacional de la Acuarela,"19,3534","-99,1622"
Museo del Juguete Antiguo México,"19,4156","-99,144"
Museo de Geología,"19,4463","-99,1525"
Museo de Historia Natural,"19,4124","-99,1894"
Museo Tezozómoc,"19,4905","-99,1873"
Museo de Arte Carrillo Gil,"19,3469","-99,1908"
Museo Kaluz,"19,437","-99,1457"
Museo de Sitio Xólotl,"19,4846","-99,046"
Museo Nacional de la Estampa,"19,4361","-99,141"
Museo del Telégrafo,"19,4358","-99,1388"
Museo del Perfume,"19,4381","-99,1389"
Museo Soumaya Plaza Loreto,"19,3468","-99,1965"
Museo Nacional de Culturas Populares,"19,3489","-99,1618"
Museo Casa León Trotsky,"19,353","-99,1623"
Museo de El Carmen,"19,3463","-99,189"
Museo de la Medicina Mexicana,"19,4345","-99,1337"
Museo Nacional de Culturas del Mundo,"19,4341","-99,1315"
Museo Vivo del Muralismo,"19,4334","-99,1415"
